system_id,g_protein_family,source_replica,pdb_sha256,xtc_sha256,n_atoms,frame_count,frame_interval_ps,represented_span_ns,pdb_xtc_atom_counts_match,finite_coordinates,finite_monotonic_time,valid_periodic_box,atom_order_backbone_geometry,catastrophic_chain_break_absent,complex_separation_absent,coordinate_scatter_absent,full_frames_checked,release_action,full_frame_qc_status,component_scope,component_scope_authority,excluded_components,schema_version
Gi_6OSA,Gi,1,98f846bd8deefe0f616efb2bd76df3929b98c481fcd7dc50f2f636ff83fa6fb5,80caaf6c1c00110af846accd377b59b5948b32457cbcff1a961f7392157f59ec,17004,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_6PT0,Gi,1,fe764bfd9977d2e965f817c4be3ab7e490f666e0f4094c39bbc150cd9e921bab,1ac81dec4f069e7bcf58c9c15d8071baa6ade858b23eb36199d2b032667aebf4,16711,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_6WWZ,Gi,1,26d70dff25c299defbf805a49283ffcfeac693b31aa50ff8d2e662f135b18625,60acffcd989c3105321211fe1600cba3fc350e57c15d7baa2c2d0be8232ffce2,18047,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7CMV,Gi,1,1813ec3fbf28639f40c29fa8cc431dc15ac8ff93ff51e5ba88481c41270d2756,2254cba8344f22375632c94a4ae48ca85371eed510b544e79cb1adc9657ca525,17483,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7D77,Gi,1,d7c041cea7168b1eaaea07c7f96da49575649934b4436e645479e2b052cd5a1f,bc9ad5c1142574faf67515eb307f9d9fd2c8fcf5b492f3838dcc1b9f50a1d080,15868,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7E2X,Gi,1,0fdaddc12f90dcf05013ada4cc6279867ed53319e96707b6dae2719216a1fc94,a1dae89160b50ff5e1766fc5c56a50264194079b04e9c438569903c3a5e1660a,17400,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7E32,Gi,1,97a6f951aecc2194fb8441083c5c19390811ac9bf74e1c04e4bcaf5361af6ad4,25395971feca00b42689a972e98ba6ad639bb7c790196bec0acb5f9564f9bd3f,16911,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7E33,Gi,1,499f1573fed6f2b1180798ebf0ae3a46bbcf0be778ced8036d8b7c02ba9d9f05,a8ed3ee1b2cee2f94454cebda850ce009e5924cb8561df32d4bdfffb80456329,17230,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7EJX,Gi,1,2189f47f5d227bfec821dd40db710a7d1b3ca627da987d0fcf9698748fd1bfd3,0a82521bc3d22a756226ab3ed33b848f4ef5ef7c7e9dce74a2447a6c46fbc37d,16504,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7EW1,Gi,1,1940896a0c8d5ed54c02d7ded0a57eef4f579fe8210ab0b0c0e6537f3ea07fb5,983d86852ffa7a6c88b78ef92164fb9039f3d4c84dde37e5d8b775cb63073d23,16725,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7EW4,Gi,1,dd75f90352834e07f3ed57887aecfd9da5433762a2730fbeb97be941b0fa54db,60ca610ca7d2dce2439ed0b89ab6b8b1436add1eecfc68e3b3d3a93bdb0120fd,16858,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7EXD,Gi,1,bfd2738b6c29af3aab9a2a7648499c042e7e739bbce3df35a1a751d840325ecd,0fd4c3e092d95f47391e42d2d4b75b4de0944ff4ac60281e68763f386b4c76d3,17533,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7EZH,Gi,1,763ef403b231e72f3cca73d330b17054e4d7d6c7c61a47fe66d49ff46b1fadf5,b018f8a0b8707735bcdc0919a9c86a2412ed69551252e33fa1bea0e0e08f6768,17440,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7F1Q,Gi,1,7ab6dbc2122ae3f648864c84142e5fc5df2c88ff978f63173099e31b7a0dc0e6,0dc9c47094a2ef8fcd1b7d7e110a2aa243697ba30916f4aac23aed9b5d36251f,16925,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7F8V,Gi,1,e1849ae4a614f49cbd44dc47ee9972d983bb49c74e7539740233071b30b86441,0bc9671b71514bbae1b28f2ef64c802d0c9c40fb7490d681065f65632767bc7e,16404,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7NA7,Gi,1,654de2f9d31047043eca7341c204c9613a8ed6544d39ede13ce66a0498ab003b,76ca960b07bfdbd91ad93f0c497e284ed121fb50359a53e581f974dc171ebe03,17043,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7QVM,Gi,1,1ae46eaed730dac986cfbac204685237278e4a3ae59ed437bfdc56b7f790ab44,8edd194fa0ab69e0a8b58b953f27e019a5d738c72e4456f9c6b0417d053571fa,16625,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7SQO,Gi,1,49f7951263f119afa153376ccac6c6d26532c101cff44ea58e6bfb2a1d7bd133,2f9cd21f11c53177ce533b79e25206a8905b6bb218d84a787f2153632715147c,16796,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7T10,Gi,1,06caef2d46fed10259b35d4a689ddcab9ecee68a62b64583038477a560c9241b,fefafe829c80ae2228e49e37e7ecf2f3d4e0dcd039b4198b5c62ba6ddaacbd53,16482,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7T96,Gi,1,a634cf66ebc20924f1cf6663d99c8b3c757d5d9fc298bbed1a5065bf746e6c0f,7674dca4117123d28df238bb5b0aa6d8ef5f054e72992e04d17cea6ba09d28f0,18652,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7TS0,Gi,1,4b7ae256fb22affb2d2cf4f35238734481be9fa41ae193417efa6dc37f5a9523,2fc015472a2f494c097488e9bbff3af22439bb9a5d6323317533b160c029ee49,18747,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7TUZ,Gi,1,63f83bb4494647577da4ea49e21e4eff67a4c150209ac885953979d73f79ca2c,60aa233f7cfe3a0e9bd18e35a79c4491e32a40c772461e82a33db07be72c542c,16987,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7VDL,Gi,1,5f198d75dcd3b0ed380e0d3043df7d4d96131fe8710a7bd17c193208bb8dc396,aa07dcc1aff6185947ed2c2bd59e4d9e91d54bb29d071a3e9e0b08bbc0086204,15812,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
