system_id,pdb_id,g_protein_family,source_replica,archive_filename,n_atoms,component_scope,schema_version,release_file_id,file_role,archive_member_path,size_bytes,sha256,n_frames,frame_interval_ps,represented_span_ns
Gi_6K42,6K42,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,18477,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_6K42:structure_pdb,structure_pdb,Gi_6K42/structure.pdb,1496799,0f20ca4456cce4691d42707d7e9925b5354954c016e548b549af28b58cef8c64,1,,
Gi_6K42,6K42,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,18477,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_6K42:trajectory_xtc,trajectory_xtc,Gi_6K42/traj.xtc,176136064,bd27a05629f63c157195e0c54acc46ddd32b02c31785d238b18b9951af743414,2500,200.000,499.800
Gi_6LFO,6LFO,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,18016,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_6LFO:structure_pdb,structure_pdb,Gi_6LFO/structure.pdb,1459458,604f24a294e82ccd2a3cdbef11487b363853bc06a3c60d50c2a761ffd3c0bee8,1,,
Gi_6LFO,6LFO,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,18016,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_6LFO:trajectory_xtc,trajectory_xtc,Gi_6LFO/traj.xtc,171816256,2cfd381269f70b9168ab56a0117b0f514005323c5445ae82558dfe223e5347cc,2500,200.000,499.800
Gi_6LML,6LML,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17604,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_6LML:structure_pdb,structure_pdb,Gi_6LML/structure.pdb,1426086,be7f70d298db42c1b72d2c273186583274171c6e6d8a72dd225c48dc20f2c868,1,,
Gi_6LML,6LML,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17604,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_6LML:trajectory_xtc,trajectory_xtc,Gi_6LML/traj.xtc,167816420,d63982873fb415b40433a04046a09813c82a4df2887872545752b19aa97d0a61,2500,200.000,499.800
Gi_6OSA,6OSA,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17004,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_6OSA:structure_pdb,structure_pdb,Gi_6OSA/structure.pdb,1377486,98f846bd8deefe0f616efb2bd76df3929b98c481fcd7dc50f2f636ff83fa6fb5,1,,
Gi_6OSA,6OSA,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17004,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_6OSA:trajectory_xtc,trajectory_xtc,Gi_6OSA/traj.xtc,161491608,80caaf6c1c00110af846accd377b59b5948b32457cbcff1a961f7392157f59ec,2500,200.000,499.800
Gi_6PT0,6PT0,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16711,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_6PT0:structure_pdb,structure_pdb,Gi_6PT0/structure.pdb,1353753,fe764bfd9977d2e965f817c4be3ab7e490f666e0f4094c39bbc150cd9e921bab,1,,
Gi_6PT0,6PT0,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16711,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_6PT0:trajectory_xtc,trajectory_xtc,Gi_6PT0/traj.xtc,159156872,1ac81dec4f069e7bcf58c9c15d8071baa6ade858b23eb36199d2b032667aebf4,2500,200.000,499.800
Gi_6WWZ,6WWZ,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,18047,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_6WWZ:structure_pdb,structure_pdb,Gi_6WWZ/structure.pdb,1461969,26d70dff25c299defbf805a49283ffcfeac693b31aa50ff8d2e662f135b18625,1,,
Gi_6WWZ,6WWZ,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,18047,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_6WWZ:trajectory_xtc,trajectory_xtc,Gi_6WWZ/traj.xtc,172040964,60acffcd989c3105321211fe1600cba3fc350e57c15d7baa2c2d0be8232ffce2,2500,200.000,499.800
Gi_7CMV,7CMV,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17483,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7CMV:structure_pdb,structure_pdb,Gi_7CMV/structure.pdb,1416285,1813ec3fbf28639f40c29fa8cc431dc15ac8ff93ff51e5ba88481c41270d2756,1,,
Gi_7CMV,7CMV,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17483,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7CMV:trajectory_xtc,trajectory_xtc,Gi_7CMV/traj.xtc,165919496,2254cba8344f22375632c94a4ae48ca85371eed510b544e79cb1adc9657ca525,2500,200.000,499.800
Gi_7D77,7D77,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,15868,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7D77:structure_pdb,structure_pdb,Gi_7D77/structure.pdb,1285470,d7c041cea7168b1eaaea07c7f96da49575649934b4436e645479e2b052cd5a1f,1,,
Gi_7D77,7D77,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,15868,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7D77:trajectory_xtc,trajectory_xtc,Gi_7D77/traj.xtc,150946120,bc9ad5c1142574faf67515eb307f9d9fd2c8fcf5b492f3838dcc1b9f50a1d080,2500,200.000,499.800
Gi_7E2X,7E2X,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17400,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7E2X:structure_pdb,structure_pdb,Gi_7E2X/structure.pdb,1409562,0fdaddc12f90dcf05013ada4cc6279867ed53319e96707b6dae2719216a1fc94,1,,
Gi_7E2X,7E2X,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17400,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7E2X:trajectory_xtc,trajectory_xtc,Gi_7E2X/traj.xtc,165415388,a1dae89160b50ff5e1766fc5c56a50264194079b04e9c438569903c3a5e1660a,2500,200.000,499.800
Gi_7E32,7E32,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16911,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7E32:structure_pdb,structure_pdb,Gi_7E32/structure.pdb,1369953,97a6f951aecc2194fb8441083c5c19390811ac9bf74e1c04e4bcaf5361af6ad4,1,,
Gi_7E32,7E32,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16911,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7E32:trajectory_xtc,trajectory_xtc,Gi_7E32/traj.xtc,160698236,25395971feca00b42689a972e98ba6ad639bb7c790196bec0acb5f9564f9bd3f,2500,200.000,499.800
Gi_7E33,7E33,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17230,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7E33:structure_pdb,structure_pdb,Gi_7E33/structure.pdb,1395792,499f1573fed6f2b1180798ebf0ae3a46bbcf0be778ced8036d8b7c02ba9d9f05,1,,
Gi_7E33,7E33,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17230,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7E33:trajectory_xtc,trajectory_xtc,Gi_7E33/traj.xtc,163963216,a8ed3ee1b2cee2f94454cebda850ce009e5924cb8561df32d4bdfffb80456329,2500,200.000,499.800
Gi_7EJX,7EJX,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16504,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7EJX:structure_pdb,structure_pdb,Gi_7EJX/structure.pdb,1336986,2189f47f5d227bfec821dd40db710a7d1b3ca627da987d0fcf9698748fd1bfd3,1,,
Gi_7EJX,7EJX,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16504,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7EJX:trajectory_xtc,trajectory_xtc,Gi_7EJX/traj.xtc,156736116,0a82521bc3d22a756226ab3ed33b848f4ef5ef7c7e9dce74a2447a6c46fbc37d,2500,200.000,499.800
Gi_7EW1,7EW1,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16725,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7EW1:structure_pdb,structure_pdb,Gi_7EW1/structure.pdb,1354887,1940896a0c8d5ed54c02d7ded0a57eef4f579fe8210ab0b0c0e6537f3ea07fb5,1,,
Gi_7EW1,7EW1,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16725,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7EW1:trajectory_xtc,trajectory_xtc,Gi_7EW1/traj.xtc,158945960,983d86852ffa7a6c88b78ef92164fb9039f3d4c84dde37e5d8b775cb63073d23,2500,200.000,499.800
Gi_7EW4,7EW4,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16858,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7EW4:structure_pdb,structure_pdb,Gi_7EW4/structure.pdb,1365660,dd75f90352834e07f3ed57887aecfd9da5433762a2730fbeb97be941b0fa54db,1,,
Gi_7EW4,7EW4,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16858,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7EW4:trajectory_xtc,trajectory_xtc,Gi_7EW4/traj.xtc,160060556,60ca610ca7d2dce2439ed0b89ab6b8b1436add1eecfc68e3b3d3a93bdb0120fd,2500,200.000,499.800
Gi_7EXD,7EXD,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17533,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7EXD:structure_pdb,structure_pdb,Gi_7EXD/structure.pdb,1420335,bfd2738b6c29af3aab9a2a7648499c042e7e739bbce3df35a1a751d840325ecd,1,,
