frame,time_ns,ca_rmsd_fit_A
0,0.0,1.9466795466607238e-07
1,0.2,0.47414615605922683
2,0.4,0.6788419764248731
3,0.6000000000000001,0.7774502541012971
4,0.8,0.7824616145607087
5,1.0,0.9306472535465049
6,1.2000000000000002,0.7907124138602232
7,1.4000000000000001,0.9416361113277429
8,1.6,0.7770885185307167
9,1.8,0.771241798039548
10,2.0,0.927799153143011
11,2.2,0.9120628407087358
12,2.4000000000000004,0.807869971623861
13,2.6,0.8609625780436976
14,2.8000000000000003,0.6860164118754883
15,3.0,0.7241660002658677
16,3.2,0.6750423165901942
17,3.4000000000000004,0.7082230006673721
18,3.6,0.7280535867216695
19,3.8000000000000003,0.7426969377541424
20,4.0,0.7228407410282505
21,4.2,0.6110677257025802
22,4.4,0.7304875044915488
23,4.6000000000000005,0.6812318896014687
24,4.800000000000001,0.6450669478100599
25,5.0,0.6153713486557374
26,5.2,0.587880844405113
27,5.4,0.6914420148093399
28,5.6000000000000005,0.6653951227669006
29,5.800000000000001,0.653196401783475
30,6.0,0.6432409411499456
31,6.2,0.5607362155819178
32,6.4,0.7121062666296378
33,6.6000000000000005,0.6635486779789119
34,6.800000000000001,0.6605886206405571
35,7.0,0.6809465055674833
36,7.2,0.7469226559292971
37,7.4,0.6594456007772606
38,7.6000000000000005,0.6872170742507275
39,7.800000000000001,0.6300216143036037
40,8.0,0.7558351752435952
41,8.200000000000001,0.6262482392963648
42,8.4,0.5824032623090046
43,8.6,0.684019458861607
44,8.8,0.5678343622893908
45,9.0,0.830482027138829
46,9.200000000000001,0.9255971298507467
47,9.4,0.8316093768602347
48,9.600000000000001,0.8870163611731813
49,9.8,0.869503234941803
50,10.0,0.761208546021038
51,10.200000000000001,0.7106981323956186
52,10.4,0.6485087647803739
53,10.600000000000001,0.6653308974168677
54,10.8,0.7298005892266202
55,11.0,0.8313521981526439
56,11.200000000000001,0.8941232881095654
57,11.4,0.771281336257261
58,11.600000000000001,0.750344348144275
59,11.8,0.8366126654133061
60,12.0,0.6649412086719222
61,12.200000000000001,0.8267290487752506
62,12.4,0.6521340845288655
63,12.600000000000001,0.7416965767155577
64,12.8,0.7456477818880803
65,13.0,0.8045066515651329
66,13.200000000000001,0.7908457226616906
67,13.4,0.8373951725036786
68,13.600000000000001,0.7594022340777176
69,13.8,0.8004789094249707
70,14.0,0.69236638613386
71,14.200000000000001,0.8062243272513514
72,14.4,0.8993780564727438
73,14.600000000000001,0.8612329164934054
74,14.8,0.8098374479103982
75,15.0,0.8168130843182364
76,15.200000000000001,0.9164517132047024
77,15.4,0.9900473984531623
78,15.600000000000001,0.7563460665093786
79,15.8,0.8658084893987567
80,16.0,0.8185265254316417
81,16.2,0.9551526703584132
82,16.400000000000002,0.8427044781258717
83,16.6,0.9281295087536291
84,16.8,0.921239799548361
85,17.0,0.9717816992071082
86,17.2,0.8272494570311739
87,17.400000000000002,0.7973660947576071
88,17.6,0.8757664844354609
89,17.8,0.9313531964116385
90,18.0,0.8910997864917727
91,18.2,0.8589601893749741
92,18.400000000000002,0.8650673814512561
93,18.6,0.9120444092267774
94,18.8,0.8185485153578976
95,19.0,0.8330457487955886
96,19.200000000000003,0.8511518350490799
97,19.400000000000002,0.756881732123886
98,19.6,0.7305990256360386
99,19.8,0.8424950276953694
100,20.0,0.7769029122041355
101,20.200000000000003,0.8629315325687135
102,20.400000000000002,0.7119551862214629
103,20.6,0.7902958915814683
104,20.8,0.8371568262439485
105,21.0,0.8983222440078024
106,21.200000000000003,0.7727480504816231
107,21.400000000000002,0.7288770048136884
108,21.6,0.8571202552851857
109,21.8,0.7817891611560663
110,22.0,0.8074373276043945
111,22.200000000000003,0.7942443512300809
112,22.400000000000002,0.8174144317951202
113,22.6,0.7856933206645627
114,22.8,0.8074494583221189
115,23.0,0.8095195260686454
116,23.200000000000003,0.8270792254256927
117,23.400000000000002,0.7883687833044245
118,23.6,0.8032125226360258
119,23.8,0.8281630237820592
120,24.0,0.7947239413672377
121,24.200000000000003,0.8216821117274106
122,24.400000000000002,0.7854478214536351
123,24.6,0.8693662700603545
124,24.8,0.8360544115726152
125,25.0,0.8082403524460348
126,25.200000000000003,0.8169511270478665
127,25.400000000000002,0.9222471481480835
128,25.6,0.9378134055383116
129,25.8,0.7522428228289322
130,26.0,0.8094743094728903
131,26.200000000000003,0.7641931776589849
132,26.400000000000002,0.7168742862148065
133,26.6,0.8532614808082893
134,26.8,0.7962465331570856
135,27.0,0.872017544874558
136,27.200000000000003,0.8280241773785905
137,27.400000000000002,0.7250477292181329
138,27.6,0.9241715413887466
139,27.8,0.7240334837124206
140,28.0,0.7920047458143562
141,28.200000000000003,0.7083641928888881
142,28.400000000000002,0.8995470597508448
143,28.6,0.8822847045867881
144,28.8,0.889130129356169
145,29.0,0.7963287167768492
146,29.200000000000003,0.7560075686956655
147,29.400000000000002,0.8335463362594041
148,29.6,0.7827259753227516
149,29.8,0.9032138122828862
150,30.0,0.8495415481156465
151,30.200000000000003,0.7464997373186141
152,30.400000000000002,0.7185430229446808
153,30.6,0.875354442150997
154,30.8,0.8244427351064808
155,31.0,0.9172357863920118
156,31.200000000000003,0.8906444189256726
157,31.400000000000002,0.9513713005575272
158,31.6,0.9544582610236092
159,31.8,0.9110974377463941
160,32.0,0.9204023644520375
161,32.2,1.0426823738018667
162,32.4,0.9618374250770099
163,32.6,0.9249987879545949
164,32.800000000000004,0.9401147670280215
165,33.0,0.9397540318680813
166,33.2,1.184805731171971
167,33.4,1.044481823323285
168,33.6,1.1032916457387445
169,33.800000000000004,1.058813582073392
170,34.0,1.1499390909843623
171,34.2,1.0629171722443174
172,34.4,1.0500923414110692
173,34.6,1.219209460650347
174,34.800000000000004,1.150120141572275
175,35.0,1.1530620690809579
176,35.2,1.1521197024270002
177,35.4,1.102043340268379
178,35.6,1.093295888205596
179,35.800000000000004,1.090212693047511
180,36.0,1.0716078576627883
181,36.2,1.1273404723795721
182,36.4,1.200964275632435
183,36.6,1.0972323770863441
184,36.800000000000004,1.2270124567854364
185,37.0,0.9889973354024432
186,37.2,0.7935754753192384
187,37.4,0.8532171047533825
188,37.6,0.9371948266396428
189,37.800000000000004,0.811289405669216
190,38.0,0.9042381221343971
191,38.2,0.867743390474597
192,38.400000000000006,0.8746758855479386
193,38.6,0.9764892222561905
194,38.800000000000004,1.0775985199113642
195,39.0,1.057654724939308
196,39.2,1.0059223729667561
197,39.400000000000006,0.8659292898548742
198,39.6,0.8957067624170533
199,39.800000000000004,0.8039349366234583
200,40.0,0.9884616222590631
201,40.2,1.0321201059508835
202,40.400000000000006,0.8545775661686965
203,40.6,0.8010608960243433
204,40.800000000000004,0.8432157552594397
205,41.0,0.8703543541457823
206,41.2,0.9085954498566587
207,41.400000000000006,1.0507251980698848
208,41.6,1.0424186497648422
209,41.800000000000004,0.9715609340987135
210,42.0,0.9994331184634976
211,42.2,0.9123826995202913
212,42.400000000000006,0.9071649833340282
213,42.6,0.9894950209637645
214,42.800000000000004,0.9734994595218706
215,43.0,1.0158539489977014
216,43.2,0.9430398931143594
217,43.400000000000006,0.9269203215187024
218,43.6,0.8421721219390741
219,43.800000000000004,0.8946950316968952
220,44.0,1.0551167126314056
221,44.2,1.0307302682805062
222,44.400000000000006,1.0578567448176106
223,44.6,0.9932943027567798
224,44.800000000000004,0.9116403141370535
225,45.0,0.9820591855120206
226,45.2,0.927457446338754
227,45.400000000000006,1.070079738174319
228,45.6,0.9060756363325431
229,45.800000000000004,1.1015744588974146
230,46.0,1.0154126773844663
231,46.2,0.9600364161501324
232,46.400000000000006,1.0056724636387664
233,46.6,1.0613561926741013
234,46.800000000000004,1.0647403075632946
235,47.0,1.099206990114636
236,47.2,1.234495520469678
237,47.400000000000006,1.0795353571358282
238,47.6,1.0134292024889717
239,47.800000000000004,1.232463401398337
240,48.0,1.0388502433906812
241,48.2,1.0973536077638664
242,48.400000000000006,1.0572627838157296
243,48.6,1.1451898459160414
244,48.800000000000004,0.9915481004800918
245,49.0,0.9027544746414152
246,49.2,1.0366248818146668
247,49.400000000000006,1.078926861958534
248,49.6,1.0007800614705396
