system_id,pdb_id,g_protein_family,release_replica,reserved_doi,file_role,archive_member_path,size_bytes,sha256,n_atoms,n_frames,frame_interval_ps,represented_span_ns,local_manifest_status,local_full_frame_qc_status,remote_state,publicly_resolvable,component_scope,example_step
G12_7SF7,7SF7,G12-13,1,10.5281/zenodo.21395292,structure_pdb,G12_7SF7/structure.pdb,1146150.0,4f8a47b2bda9cc271c84f790afded96d387b1991236728a338f4eaab6c7b6ec5,14148.0,1.0,,,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded",verify structure SHA-256 and load as topology
G12_7SF7,7SF7,G12-13,1,10.5281/zenodo.21395292,trajectory_xtc,G12_7SF7/traj.xtc,134520700.0,9763422edfb3d07032901e1f45d577e6c02094925e2189614b71f5408a26ca0e,14148.0,2500.0,200.0,499.8,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded",verify trajectory SHA-256 and load coordinates
