system_id,replica,g_protein_family,g_protein_family_label,harmonized_observations,tm_core_rmsd_A_p95,galpha_interface_rmsd_A_p95,contact_retention_p05
Gi_6CMO,1,Gi,Gi/o,1001,2.6064225391258704,5.5179628766628,0.8648648648648649
Gi_6CMO,2,Gi,Gi/o,1001,2.850781550905465,5.955229134814476,0.7906976744186046
Gi_6CMO,3,Gi,Gi/o,1001,2.589734238498213,6.22556642214424,0.8780487804878049
Gi_6D9H,1,Gi,Gi/o,1001,1.9108545232853769,4.528062536374306,0.9393939393939394
Gi_6D9H,2,Gi,Gi/o,1001,2.0422823511443737,6.484906835739865,0.9117647058823528
Gi_6D9H,3,Gi,Gi/o,1001,2.079897320542927,4.689777068992946,0.8709677419354839
Gi_6G79,1,Gi,Gi/o,1001,1.8965834034733733,8.426460629029544,0.7567567567567568
Gi_6G79,2,Gi,Gi/o,1001,1.935754620243968,6.229995007234945,0.7903225806451613
Gi_6G79,3,Gi,Gi/o,1001,1.5644454589091712,6.963467690378284,0.7681159420289855
Gi_6K42,1,Gi,Gi/o,1001,1.3349223237242511,5.599850650508638,0.8958333333333334
Gi_6K42,2,Gi,Gi/o,1001,1.3051697030241327,6.1098146215026565,0.875
Gi_6K42,3,Gi,Gi/o,1001,1.5454087403905428,9.008178110768489,0.8269230769230769
Gi_6LFO,1,Gi,Gi/o,1001,2.4522510342316366,6.165835927447242,0.819672131147541
Gi_6LFO,2,Gi,Gi/o,1001,2.3042041956916526,3.940475682062037,0.8235294117647058
Gi_6LFO,3,Gi,Gi/o,1001,2.334798478737629,5.352072644592121,0.9253731343283582
Gi_6LML,1,Gi,Gi/o,1001,2.987512186702024,5.204000290672488,0.85
Gi_6LML,2,Gi,Gi/o,1001,3.8778185097040345,8.221281983567964,0.48
Gi_6LML,3,Gi,Gi/o,1001,2.9693662235329774,5.386982073602007,0.9
Gi_6OSA,1,Gi,Gi/o,1001,1.8661924909588448,5.598273509734265,0.7464788732394366
Gi_6OSA,2,Gi,Gi/o,1001,1.8183064165731124,4.968188755972052,0.7777777777777778
Gi_6OSA,3,Gi,Gi/o,1001,1.837650711800456,5.287069476630045,0.5942028985507246
Gi_6PT0,1,Gi,Gi/o,1001,1.842725869595985,5.073517070473528,0.6410256410256411
Gi_6PT0,2,Gi,Gi/o,1001,1.555506538655527,5.362120746566793,0.6666666666666666
Gi_6PT0,3,Gi,Gi/o,1001,1.510225439027565,6.300221915364155,0.7045454545454546
Gi_6WWZ,1,Gi,Gi/o,1001,1.5544834921846715,4.960819561400046,0.9807692307692308
Gi_6WWZ,2,Gi,Gi/o,1001,1.880530269581179,3.867525953805445,1.0
Gi_6WWZ,3,Gi,Gi/o,1001,1.714468498743848,3.9300960479089446,1.0
Gi_7CMV,1,Gi,Gi/o,1001,1.961166648114992,7.570125249596128,0.8588235294117647
Gi_7CMV,2,Gi,Gi/o,1001,1.5669680034655136,5.910482959202763,0.7901234567901234
Gi_7CMV,3,Gi,Gi/o,1001,1.5174178991712974,8.14933319629275,0.8125
Gi_7D77,1,Gi,Gi/o,1001,1.910400784742096,5.203358361126297,0.967741935483871
Gi_7D77,2,Gi,Gi/o,1001,1.565808214189614,5.117394803553794,1.0
Gi_7D77,3,Gi,Gi/o,1001,1.8083262095310253,5.646691458443531,0.967741935483871
Gi_7E2X,1,Gi,Gi/o,1001,2.6213058930131674,9.01608142112604,0.8390804597701149
Gi_7E2X,2,Gi,Gi/o,1001,1.501656722583973,8.545447517449226,0.5955056179775281
Gi_7E2X,3,Gi,Gi/o,1001,2.3959715635945327,8.649574902381046,0.7471264367816092
Gi_7E32,1,Gi,Gi/o,1001,1.9138393787194832,6.622870599472433,0.984126984126984
Gi_7E32,2,Gi,Gi/o,1001,1.5950734307448815,5.627264060562145,0.9516129032258064
Gi_7E32,3,Gi,Gi/o,1001,2.075997775473644,4.876801957055,0.8387096774193549
Gi_7E33,1,Gi,Gi/o,1001,2.5037216636180557,4.918653084919981,0.9423076923076924
Gi_7E33,2,Gi,Gi/o,1001,1.4720601320070266,4.314929622211638,0.9772727272727272
Gi_7E33,3,Gi,Gi/o,1001,1.915942030609577,5.307525429882853,0.8604651162790697
Gi_7EJX,1,Gi,Gi/o,1001,3.043867030449792,11.694891343401665,0.6630434782608695
Gi_7EJX,2,Gi,Gi/o,1001,2.458768381031604,7.766609811575642,0.8928571428571429
Gi_7EJX,3,Gi,Gi/o,1001,2.732167018012692,5.295826050146565,0.7471264367816092
Gi_7EW1,1,Gi,Gi/o,1001,2.4778064088580845,8.633452172144336,0.6666666666666666
Gi_7EW1,2,Gi,Gi/o,1001,2.731216596028312,7.193224582244189,0.7441860465116279
Gi_7EW1,3,Gi,Gi/o,1001,2.6491297433792527,7.074013258065985,0.8235294117647058
Gi_7EW4,1,Gi,Gi/o,1001,1.989393145684172,5.084807858489941,0.8235294117647058
Gi_7EW4,2,Gi,Gi/o,1001,1.981080417045764,7.281559902367068,0.8181818181818182
Gi_7EW4,3,Gi,Gi/o,1001,2.151430434624737,5.375359849731654,0.8269230769230769
Gi_7EXD,1,Gi,Gi/o,1001,3.088511952674365,4.6155804318785885,0.9565217391304348
Gi_7EXD,2,Gi,Gi/o,1001,2.142339482820883,5.365732638997415,1.0
Gi_7EXD,3,Gi,Gi/o,1001,2.31702777002102,4.9432841288678295,0.903846153846154
Gi_7EZH,1,Gi,Gi/o,1001,1.9284061056785808,5.71489883986731,0.6666666666666666
Gi_7EZH,2,Gi,Gi/o,1001,2.0757891662831183,6.793036369544217,0.8840579710144928
Gi_7EZH,3,Gi,Gi/o,1001,2.1357381571074017,7.311481110037423,0.75
Gi_7F1Q,1,Gi,Gi/o,1001,1.622308260942188,3.2761570253313907,0.979591836734694
Gi_7F1Q,2,Gi,Gi/o,1001,1.622308260942188,3.2761570253313907,0.979591836734694
Gi_7F1Q,3,Gi,Gi/o,1001,2.0293627506401304,4.083477401057887,0.8775510204081632
Gi_7F8V,1,Gi,Gi/o,1001,2.341147112869701,9.004568691651938,0.7719298245614035
Gi_7F8V,2,Gi,Gi/o,1001,2.330128245435414,7.026128391254308,0.8113207547169812
Gi_7F8V,3,Gi,Gi/o,1001,2.6437388236746893,9.924222336304114,0.8333333333333334
Gi_7NA7,1,Gi,Gi/o,1001,1.8647044691305932,4.888763526985945,0.9056603773584906
Gi_7NA7,2,Gi,Gi/o,1001,1.795945399160501,4.524063007108066,0.9166666666666666
Gi_7NA7,3,Gi,Gi/o,1001,1.806887151468879,4.440645626243605,0.92
Gi_7QVM,1,Gi,Gi/o,1001,2.157030686010269,7.956803308174384,0.6964285714285714
Gi_7QVM,2,Gi,Gi/o,1001,3.6574402921063305,10.227338430510038,0.7021276595744681
Gi_7QVM,3,Gi,Gi/o,1001,2.8855093293467564,13.101889432913683,0.5689655172413793
Gi_7SQO,1,Gi,Gi/o,1001,2.12656558214809,5.919467276274304,0.5238095238095238
Gi_7SQO,2,Gi,Gi/o,1001,2.1596485593850674,7.493002111986332,0.75
